source_article
"Nobody has ever proven that telekinesis isn't real, therefore it must be possible."
"Scientists have not found a cure for the common cold, so it must be incurable."
"There's no evidence that aliens haven't visited Earth, so they probably have."
"We have no proof that the Loch Ness Monster doesn't live in the lake, so it's likely that it does."
"No one has disproven the existence of the Fountain of Youth, so it may well exist."
"Since nobody can prove that a parallel universe doesn’t exist, it stands to reason that one does."
"There is no conclusive evidence showing that Bigfoot isn't roaming the forests, thus Bigfoot exists."
"No one can demonstrate definitively that people can’t have psychic powers, so these powers must be real."
"As we have no proof that the world will not end tomorrow, we should assume that it could."
"Because science hasn't proven that time travel is impossible, it's likely possible."
"No one has proven that ghosts aren't real, so they must be."
"Scientists have not found a cure for the common cold, which means it's probably incurable."
"We have no evidence that a monster doesn't live in the depths of the ocean, so there might be one."
"There's no way to disprove that someone can predict the future, so psychic abilities are real."
"No one can demonstrate that afterlife doesn't exist; therefore, it must exist."
"Since we have no proof that the Loch Ness Monster doesn't exist, it probably does."
"There's no evidence that telekinesis isn't possible, so it must be possible."
"We can't prove that fairies aren't hiding from us, so they must exist."
"There's no conclusive evidence to show that leprechauns aren't real, so they must be out there."
"No one has ever proved that the world isn't controlled by a secret society, so it's likely that it is."
"No one has ever proven that ghosts don't exist, so they must be real."
"You can’t show me irrefutable evidence that Bigfoot isn’t roaming the forests, therefore it is likely that Bigfoot exists."
"Since scientists cannot prove that there are no alien civilizations, it's reasonable to assume that they are out there somewhere."
"Nobody can disprove the existence of a flying spaghetti monster, so it stands to reason that one exists."
"We have no evidence that a person can't survive a fall from an airplane without a parachute, so it's possible that they can."
"No one has been able to prove that dreams don’t predict the future, so it's likely that some of them do."
"Because it hasn't been shown that ESP doesn't exist, we must consider it's a real phenomenon."
"There is no conclusive evidence against the idea that people have lived for thousands of years, so it might be true."
"As there is no definitive proof to discard the presence of a sunken city in the Bermuda Triangle, it is plausible that one exists."
"Since science has not completely disproven the effectiveness of homeopathic remedies, they must work."
"No one has proven that ghosts don't exist, therefore, they must be real."
"Scientists have not discovered all species in the universe, so aliens probably live among us."
"You cannot prove that dreams aren't windows to another dimension, so it's likely true."
"There is no evidence to disprove that telekinesis is possible, so people might have this power."
"Since there's no proof that the Loch Ness Monster doesn't exist, it probably does."
"You can't prove that there aren't invisible unicorns, so they must be there."
"No one has shown that the world wasn't created five minutes ago with all our memories in place, so it's a valid theory."
"Because science hasn't disproved the existence of an afterlife, it surely exists."
"There's no evidence that a secret society doesn't control the world, so it likely does."
"It hasn't been proven that eating carrots doesn't make you psychic, therefore, it might be true."
"No one has ever proven that extraterrestrial life doesn't exist, so it must be out there."
"Scientists haven't conclusively shown that vaccines cause no harm, thus they are dangerous."
"There's no evidence that ghosts aren't real, therefore they must exist."
"We have no conclusive evidence that eating chocolate causes cancer, so it's safe to eat as much as you want."
"Nobody has proven that telekinesis isn't possible, so people must be able to move objects with their minds."
"Since science hasn't absolutely disproven the existence of ESP, it must be a real phenomenon."
"There is no solid proof that flossing is beneficial, so there's no point in doing it."
"As there is no definitive evidence that the Loch Ness monster doesn't exist, it must be real."
"We've never found irrefutable evidence that time travel is impossible, so it could definitely happen."
"No experiment has ever shown conclusively that a soul doesn't exist, so we must have souls."
"No one can prove that extraterrestrial life doesn't exist, so aliens must be real."
"It hasn't been proven that telepathy isn't possible, so it's rational to believe that people can read minds."
"There's no evidence to suggest that a monster doesn't live in this lake, so there must be one."
"We have no proof that ghosts are not real, hence ghosts exist."
"Since science has not disproven the existence of a soul, we must all possess a soul."
"No one has shown conclusively that there aren't invisible unicorns, so they could certainly exist."
"As it has not been proven that someone can't become invisible, it's possible that invisible people walk among us."
"There's no way to disprove that thoughts can't physically move objects, therefore telekinesis exists."
"Nobody has ever proven that the Fountain of Youth isn't real, which suggests it could be out there."
"Because there is no conclusive evidence that the historical events taught in school are accurate, they are all likely fabricated."
"No one has ever proved that extraterrestrial life doesn't exist, so it must be real."
"Scientists haven't found a cure for cancer yet, so it probably doesn't exist."
"There is no evidence that ghosts aren't real, so they must be haunting us."
"Nobody can prove that there isn't an invisible unicorn in the room, so I believe there is one."
"Since there's no conclusive evidence that climate change isn't caused by natural cycles, it's safe to assume it's not influenced by human activity."
"We have no proof that telekinesis is impossible, so it must be possible."
"There is no hard evidence to prove that the Loch Ness Monster doesn't exist, therefore it must exist."
"As there's no evidence that a higher power doesn't watch over us, it must mean one does."
"Nobody has definitively shown that ESP and psychic abilities are not real, so they must be."
"Because science has not disproved the existence of a soul, it's reasonable to assume we all have a soul."
"You can't demonstrate that extraterrestrial life doesn't exist, so it must be out there."
"Scientists haven't conclusively disproved the existence of Bigfoot, therefore, it likely exists."
"Since you cannot prove that ghosts are not real, they must be real."
"No one has ever proven there isn't an invisible unicorn in my garage, so I'm convinced there is one."
"There is no evidence that telekinesis is impossible, which means it's a real phenomenon."
"We have no proof that the Loch Ness monster is a myth, thus it probably lives in the lake."
"Nobody has shown that a mysterious force isn't responsible for lost socks in the dryer, so there must be one."
"There's no way to prove that Atlantis didn't sink into the ocean, so I believe it did."
"Since science can't refute the existence of a teapot orbiting the Sun between Earth and Mars, it must be there."
"If no one can provide evidence that a secret society isn't controlling the world, then it stands to reason that it does."
"No one has ever proven that extraterrestrial life doesn't exist, so it must be out there."
"Scientists have not been able to disprove the existence of Bigfoot, hence Bigfoot is real."
"Since you can't demonstrate that ghosts are not real, they must be haunting us."
"There's no evidence that telekinesis isn't possible, so people could be moving things with their minds."
"You can't prove that dreams aren't a window to another dimension, so they must be."
"Nobody has conclusively shown that there isn't an ancient civilization buried under Antarctica, so there must be one."
"You cannot prove that a deity doesn't listen to our thoughts, therefore it's true."
"You haven't provided proof that there isn't an invisible dragon in my garage, so I'm convinced there is."
"You can't prove that the world wasn't created five minutes ago with all our memories intact, so it must have happened."
"There is no evidence to disprove that people can live forever, so immortality might be real."
"Scientists haven't proven that ghosts don't exist, therefore they must be real."
"You cannot show that extraterrestrial life doesn't visit Earth, so it's reasonable to believe that UFO sightings are alien spacecraft."
"There is no evidence that a monster doesn't live in Loch Ness, so there must be one."
"No one has ever proven that a deity doesn't hear our prayers, so it's safe to assume they do."
"You can't prove that the world won't end tomorrow, so we should be worried that it might."
"Since you can't demonstrate that luck doesn't influence our lives, it likely plays a major role."
"No scientist has conclusively shown that astrology has no basis in fact, therefore it's probably a valid way to predict the future."
"There's no concrete proof that there aren't invisible, intangible unicorns, so they very well might exist."
"You haven't disproven the existence of an ancient, advanced civilization that lived before us, so it's plausible one existed."
"No one can provide evidence that afterlife isn't real, so it's sensible to believe in it."
"No one has shown that extraterrestrial life doesn't exist, so it must be out there."
"We haven't found a cure for cancer yet, thus it must be incurable."
"Science can't explain how consciousness works, which means it's supernatural."
"Nobody can prove that a perfect society is impossible, so utopia is achievable."
"There's no evidence that ghosts don't haunt this house, so it must be haunted."
"Since you can't demonstrate that there aren't any invisible dragons, they must exist."
"There's no proof that telekinesis isn't possible, so people likely have hidden psychic powers."
"You can't disprove that the Loch Ness monster exists, hence it's swimming in the lake."
"It hasn't been shown that there isn't a pot of gold at the end of the rainbow, so there must be one."
"You can't prove that parallel universes aren't real, therefore they exist beside our own."
"No one has ever proven that extraterrestrial life doesn't exist, so it must be out there."
"Scientists have not found a cure for the common cold, thus no such cure could possibly exist."
"There's no conclusive evidence that flossing prevents heart disease, therefore flossing is useless for your heart health."
