source_article
Everyone is switching to electric cars; you should too if you don't want to be left behind.
"All of my friends are voting for candidate A, so they must be the best choice for the job."
The new diet pill must be effective – it's the most popular one on the market.
You should invest in cryptocurrency because it’s what everyone is doing right now.
"Most people agree with the war efforts, so clearly it's a justified cause."
"The majority of students in the school prefer using brand X notebooks, so they must be the best option available."
"Our ancestors believed in this religion for centuries, so it must be the right one to follow."
I bought this smartphone model because it's the most common one I’ve seen people using.
"Most of the country supports this law, so anyone who doesn't is simply wrong."
The book must be good if it has been on the bestseller list for weeks; you should read it too.
"Everyone at school is going to the after-prom party, so it must be the best way to celebrate."
All my colleagues are voting for Candidate X in the upcoming election; that's enough reason for you to vote for them too.
The majority of people in your neighborhood are converting their lawns into rock gardens. You should do the same if you want to fit in.
"Most of the parents at this school let their kids stay up until 11 PM, so there's no reason why you should enforce an earlier bedtime."
"All the top players in the league are wearing this brand of sneakers, so they must be the best choice for you too."
The book must be good if it's a bestseller. You should read it next.
"Seventy percent of the company uses this software for their work, so you should probably switch to it as well."
The new smartphone has been sold out in minutes for the past week. It's definitely the phone you should buy.
"Most of our customers prefer the new packaging, so it must be an improvement over the old one."
"Everyone in your class is going abroad for their summer vacation, so you would surely enjoy doing that too."
Everyone is buying the latest Smartphone X; it must be the best phone available.
"All my friends are voting for candidate A in the election, so I will do the same."
"Most of my colleagues are switching to the new software update, so I guess I should too."
"The majority of people in my city support the new tax reform, hence it must be beneficial for us all."
"All the critics say movie Y is phenomenal, so it must be good."
"If millions of people are doing yoga to get healthy, it clearly works, so I need to start doing yoga too."
Everyone at school is wearing this brand of sports shoes. They have to be the best choice for athletics.
"Many parents are sending their children to private schools; therefore, the education must be superior there."
"All the top players are using this brand of sports equipment, so it has to be the superior choice."
"Most homeowners in my neighborhood are using this landscaping service, so it has to be the best one available."
"Everyone believes that climate change is the most critical issue of our time, so it must be true."
"All my friends are voting for Candidate X in the election; therefore, Candidate X is the best choice for the office."
"Most people agree that this is the best university in the country, so you should apply here."
"All the top players use this brand of equipment, so it must be the best available."
"The majority of people in our city support the new shopping mall, so it's definitely a good thing for the community."
"Celebrities are all going vegan nowadays, you should too if you want to stay trendy and healthy."
People around the world are switching to this smartphone brand; it's the smartest move you can make.
"If most of your colleagues are against the new policy, surely they can't all be wrong."
"Since the majority of experts recommend this book, it must be the most authoritative source on the subject."
"The new diet is becoming very popular and everyone is trying it, so it must be effective and safe."
"Everyone is moving to electric cars these days, so they must be the best choice for everyone."
"The majority of people believe that this politician is corrupt, so it must be true."
"All my friends are skipping the lecture today, so it won't be worth attending."
"Most people I know are using this brand of smartphone, so it must be the best on the market."
"The new diet trend has gone viral on social media, so it has to be effective and healthy."
"If you don't support the proposed law, you'll be on the wrong side of history since everyone agrees it is essential."
"Everyone in our neighborhood is painting their house white; hence, white must be the best color choice for resale value."
"I saw that the majority of the customer reviews are positive, so I didn't even bother reading the negative ones."
Nobody uses that software anymore; it's obviously outdated and inefficient.
"All the top players are using this type of tennis racket, so it must be the reason for their success."
Everyone in your neighborhood is donating to help abandoned animals. You should donate too!
All of your friends have adopted rescue pets. It's time you did the same!
Celebrities are all backing the new environmental campaign. Join them and show your support!
"Millions of people are switching to electric cars. Don't get left behind, switch today!"
"All popular students at school are wearing this brand. To fit in, you need to wear it too."
Most parents in our city are sending their kids to private schools. Ensure your child's success by doing the same.
The majority of your colleagues are agreeing with the boss's plan. It must be the right thing to agree with.
The latest diet is becoming a trend because all the fitness influencers are on it. Start this diet to get in shape!
Most people on your street are voting for this candidate. You should vote for them as well!
"Every top player uses this brand of equipment. By using it, you’ll become a better player as well."
Everyone is buying this brand of smartphone; it must be the best on the market.
"The majority of people in the country support this law, so it has to be a good idea."
"All my friends are going on extreme diets, so I'm going to start one too."
"Most people in the office are working late every night, so you should too if you want to fit in."
"I heard that the most successful students in our school are not sleeping much, so I guess I'll cut my sleep time."
"Everybody at the party was drinking, so I felt like I had to as well."
"All the critics gave the movie a glowing review, so it's definitely worth watching."
